,date,Temperature,Humidity,Light,HumidityRatio,PIR,Occupancy
140,02/02/15 14:19,23.7,26.272,585.2,0.004764163,1,1
141,02/02/15 14:19,23.718,26.29,578.4,0.004772661,1,1
142,02/02/15 14:21,23.73,26.23,572.6666667,0.004765153,1,1
143,02/02/15 14:22,23.7225,26.125,493.75,0.004743773,1,1
144,02/02/15 14:23,23.754,26.2,488.6,0.004766594,1,1
145,02/02/15 14:23,23.76,26.26,568.6666667,0.004779332,1,1
146,02/02/15 14:25,23.73,26.29,536.3333333,0.004776136,1,1
147,02/02/15 14:25,23.754,26.29,509,0.004783094,1,1
148,02/02/15 14:26,23.754,26.35,476,0.004794094,1,1
149,02/02/15 14:28,23.736,26.39,510,0.004796189,1,1
150,02/02/15 14:29,23.745,26.445,481.5,0.004808886,1,1
151,02/02/15 14:30,23.7,26.56,481.8,0.004816793,1,1
152,02/02/15 14:31,23.7,26.6,475.25,0.004824104,1,1
153,02/02/15 14:31,23.7,26.7,469,0.004842381,1,1
154,02/02/15 14:32,23.7,26.774,464,0.004855906,1,1
155,02/02/15 14:34,23.7,26.89,464,0.00487711,1,1
156,02/02/15 14:35,23.7,26.9725,455,0.004892191,1,1
157,02/02/15 14:36,23.6,26.89,454,0.004847594,1,1
158,02/02/15 14:37,23.64,26.976,458,0.004875045,1,1
159,02/02/15 14:38,23.65,27.05,464,0.004891492,1,1
160,02/02/15 14:38,23.64,27.1,473,0.00489763,1,1
161,02/02/15 14:39,23.6,27.16,464,0.004896652,1,1
162,02/02/15 14:41,23.6,27.236,498.4,0.004910462,1,1
163,02/02/15 14:42,23.6,27.29,530.2,0.004920275,1,1
164,02/02/15 14:43,23.6,27.33,533.6,0.004927544,1,1
165,02/02/15 14:44,23.6,27.34,524.25,0.004929361,1,1
166,02/02/15 14:44,23.625,27.3925,498.6666667,0.004946406,1,1
167,02/02/15 14:45,23.6,27.39,516.3333333,0.004938448,1,1
168,02/02/15 14:47,23.6,27.412,501.2,0.004942446,1,1
169,02/02/15 14:48,23.6,27.5,522,0.004958439,1,1
170,02/02/15 14:49,23.6,27.525,520.5,0.004962982,1,1
171,02/02/15 14:50,23.6,27.6,505.2857143,0.004976614,1,1
172,02/02/15 14:51,23.6,27.6,488.3333333,0.004976614,1,1
173,02/02/15 14:51,23.6,27.54,512,0.004965709,1,1
174,02/02/15 14:53,23.6,27.6,511,0.004976614,1,1
175,02/02/15 14:54,23.61666667,27.63333333,501.5,0.004987718,1,1
176,02/02/15 14:55,23.66666667,27.7,503.6666667,0.005015051,1,1
177,02/02/15 14:55,23.6,27.7,483.1666667,0.00499479,1,1
178,02/02/15 14:57,23.6,27.7225,483.5,0.004998879,1,1
179,02/02/15 14:57,23.6,27.79,473,0.005011149,1,1
180,02/02/15 14:58,23.6,27.85666667,470.3333333,0.005023268,1,1
181,02/02/15 15:00,23.6,27.80428571,480.1428571,0.005013746,1,1
182,02/02/15 15:01,23.575,27.79,464,0.005003545,1,1
183,02/02/15 15:02,23.54,27.81,474.4,0.004996538,1,1
184,02/02/15 15:03,23.6,27.978,470,0.005045325,1,1
185,02/02/15 15:04,23.525,28,454,0.005026367,0,1
186,02/02/15 15:04,23.5,27.978,454,0.00501476,0,1
187,02/02/15 15:06,23.5,28,454,0.005018735,0,1
188,02/02/15 15:07,23.5,28,454,0.005018735,0,1
189,02/02/15 15:08,23.5,28,445,0.005018735,0,1
190,02/02/15 15:08,23.5,28,439,0.005018735,0,1
191,02/02/15 15:10,23.5,28.025,444.25,0.005023252,0,1
192,02/02/15 15:10,23.445,28.125,454.75,0.005024491,0,1
193,02/02/15 15:11,23.39,28.18,455.8,0.005017582,0,1
194,02/02/15 15:13,23.39,28.2,451.6,0.005021172,0,1
195,02/02/15 15:14,23.39,28.2,451.6,0.005021172,0,1
196,02/02/15 15:15,23.39,28.2,454.75,0.005021172,0,1
197,02/02/15 15:16,23.39,28.2225,454.75,0.005025211,0,1
198,02/02/15 15:16,23.39,28.37333333,457.5,0.005052286,0,1
199,02/02/15 15:17,23.37,28.39,464,0.00504913,0,1
200,02/02/15 15:19,23.39,28.32333333,464,0.00504331,0,1
201,02/02/15 15:20,23.37333333,28.445,464,0.005060017,0,1
202,02/02/15 15:21,23.39,28.5,471.5,0.005075025,0,1
203,02/02/15 15:22,23.32333333,28.5,475.6666667,0.005054476,0,1
204,02/02/15 15:23,23.365,28.5,471.5,0.00506731,0,1
205,02/02/15 15:23,23.29,28.5,467.75,0.005044229,0,1
206,02/02/15 15:24,23.30666667,28.53333333,466.5,0.005055304,0,1
207,02/02/15 15:26,23.29,28.7,464,0.005079916,1,1
208,02/02/15 15:27,23.29,28.7,467,0.005079916,1,1
209,02/02/15 15:28,23.29,28.675,467.75,0.005075455,1,1
